temp1,temp2,intensity,warm,temp3,gas,outcome
14,851,6075,50.68,1504,4937,0
16,880,2888,32.43,3920,4937,0
16,879,3348,32.43,272,4937,0
16,881,3347,32.52,5360,4937,0
29,880,3268,31.52,1232,4937,0
29,878,3285,31,1136,4937,0
16,881,3056,32.73,5792,4937,0
29,879,3204,31.46,2256,4937,0
29,879,3167,32.46,208,4937,0
22,882,3215,33.4,5760,4937,0
29,875,2777,31.77,0,4937,0
29,880,3011,31.85,2272,4937,0
29,878,3618,32,1024,4937,0
29,882,0,33.73,4304,4937,0
29,880,3108,32.44,0,4937,0
29,881,3217,32.11,2496,4937,0
29,879,3370,31.94,832,4937,0
23,881,2838,32.95,4816,4937,0
29,881,2768,31.68,0,4937,0
29,882,3051,31.76,2816,4937,0
29,879,3328,31.04,1632,4937,0
16,881,3148,32.87,5728,4937,0
29,880,3009,31.8,1824,4937,0
29,880,2935,31.95,1296,4937,0
16,880,3401,32.89,5888,4937,0
23,879,3215,30.83,1792,4937,0
29,879,3538,31.09,320,4937,0
29,884,2742,30.75,0,4937,0
29,879,2908,30.57,2336,4937,0
29,880,3356,31.29,976,4937,0
17,881,3031,33.18,4432,4937,0
29,883,2739,31.51,0,4937,0
29,881,2939,31.05,2704,4937,0
29,879,3245,31.3,1040,4937,0
16,881,3091,32.48,5184,4937,0
29,879,3327,31,1872,4937,0
29,880,3526,30.75,1328,4937,0
16,881,3175,33.11,4240,4937,0
16,880,3225,33.2,384,4937,0
16,881,3042,32.47,5808,4937,0
29,878,2911,30.54,1888,4937,0
29,879,3322,30.99,1168,4937,0
16,880,3488,32.66,6112,4937,0
29,875,2700,31.05,0,4937,0
29,881,3030,31.09,1696,4937,0
29,879,3031,30.88,1088,4937,0
15,852,6075,53.28,1104,4937,0
17,881,3425,33.2,3840,4937,0
17,881,3034,33.32,0,4937,0
16,881,2966,32.73,5120,4937,0
29,881,3654,32.11,2224,4937,0
29,880,3103,31.86,1296,4937,0
28,881,3323,33.02,4880,4937,0
29,880,3317,31.36,0,4937,0
29,881,3545,31.37,2496,4937,0
29,881,3084,31.71,576,4937,0
16,882,3019,32.74,5232,4937,0
29,872,2799,31.04,0,4937,0
29,880,3034,30.87,2672,4937,0
29,878,3508,30.75,1056,4937,0
16,881,2932,32.88,5456,4937,0
23,881,2744,31.11,1632,4937,0
29,878,3500,30.81,576,4937,0
16,879,3282,32.7,5808,4937,0
19,881,2830,30.9,2240,4937,0
29,879,3192,30.47,1216,4937,0
16,882,3101,33.04,3952,4937,0
17,882,3068,33.25,5136,4937,0
29,878,3385,31.28,640,4937,0
29,880,3007,31.48,3152,4937,0
14,872,3200,17.61,2928,4937,0
16,880,2872,32.5,4944,4937,0
16,880,3274,32.45,1040,4937,0
16,881,2877,32.86,3776,4937,1
17,880,3103,32.8,0,4937,1
14,875,3290,34.57,2144,4937,1
16,880,3402,33.11,4208,4937,1
16,881,3534,33.49,656,4937,1
16,881,3073,32.22,6192,4937,0
26,880,2901,30.66,2272,4937,0
29,879,3525,31.15,880,4937,0
17,882,2965,33.1,4304,4937,0
29,881,3010,31.1,0,4937,0
29,881,3168,31.36,2736,4937,0
29,880,3355,31.41,416,4937,0
16,882,3260,33.1,5760,4937,0
29,880,3211,31.76,1904,4937,0
29,879,3143,31.96,1168,4937,0
29,880,3087,31.97,0,4937,0
29,880,3225,31.88,2016,4937,0
29,880,3243,30.87,320,4937,0
16,880,2964,32.7,5328,4937,0
28,879,3067,31.46,2176,4937,0
29,881,3413,31.61,976,4937,0
27,880,0,33.33,5200,4937,0
29,880,3266,31.63,0,4937,0
29,881,3260,31.41,3344,4937,0
29,878,3273,31.21,848,4937,0
16,880,3214,33.49,5792,4937,0
29,880,3271,32.47,1776,4937,0
29,880,3250,31.78,880,4937,0
16,882,2904,32.69,5728,4937,0
25,878,2745,30.55,0,4937,0
26,879,3091,30.65,2880,4937,0
29,880,2983,30.54,1392,4937,0
16,880,3068,33.02,5520,4937,0
29,880,3020,30.99,2112,4937,0
29,877,3233,30.68,976,4937,0
16,882,2882,32.51,5648,4937,0
20,881,2736,30.91,1536,4937,0
29,880,3133,30.95,1040,4937,0
29,880,3308,31.2,0,4937,0
29,880,3044,31.11,2464,4937,0
29,880,3144,31.25,1568,4937,0
16,881,3657,33.14,5792,4937,0
29,880,3263,32.31,1888,4937,0
29,880,3324,31.77,1232,4937,0
14,873,2995,41.84,2592,4937,0
16,880,2818,32.53,3840,4937,0
16,882,2883,32.71,784,4937,0
16,882,2810,32.74,5632,4937,0
26,862,2864,31.64,0,4937,0
29,879,3214,31.36,2400,4937,0
29,880,2772,31.44,848,4937,0
16,881,0,32.76,5328,4937,0
29,881,3347,31.61,0,4937,0
29,881,3150,31.49,2288,4937,0
29,881,2948,31.97,1696,4937,0
29,880,3010,31.2,0,4937,0
29,879,3030,31.07,3568,4937,0
29,880,3272,31.32,1632,4937,0
16,880,3040,33.09,5056,4937,0
26,880,3008,30.82,2672,4937,0
29,880,2750,30.87,1440,4937,0
29,877,3126,31.4,0,4937,0
29,880,3607,31.54,3408,4937,0
29,881,3298,31.52,1024,4937,0
16,882,3064,32.88,5632,4937,0
29,882,3359,31.59,2544,4937,0
29,880,3102,31.83,352,4937,0
29,882,2688,31,0,4937,0
29,880,3539,30.88,2800,4937,0
29,880,3108,31.59,1824,4937,0
16,881,3090,33.09,5360,4937,0
29,854,6075,31.55,0,4937,0
29,880,3047,31.08,2528,4937,0
29,880,3324,31.79,1232,4937,0
